RMS_s,Mean_s,STD_s, MAX_s, Kurtosis_s, Skewness_s, Var_s,Entropy_s,RMS_v,Mean_v,STD_v, MAX_v, Kurtosis_v, Skewness_v, Var_v,Entropy_v,target
3.049223575,2.651546634,1.505692598,9.991553686,3.317730931,0.384469864,9.29776441,-1245635.313,0.93892734,0.746239505,0.569840018,2.840625437,4.130439457,1.110877613,0.881584551,-27723.45617,1
3.152334921,2.71408259,1.603440854,13.13923691,5.800907112,0.775399226,9.937215457,-1389553.087,0.905572306,0.716547305,0.553739373,2.834825086,4.265789561,1.157753051,0.820061201,-23523.90203,1
3.247793081,2.752258473,1.724323827,17.04483258,11.4864308,1.336270339,10.5481599,-1544510.028,0.875217487,0.694888149,0.532110677,2.753264451,4.386217592,1.169763568,0.76600565,-19105.27979,1
3.311089435,2.85434379,1.678121299,11.02432077,3.163064695,0.443689343,10.96331325,-1574859.136,0.843669332,0.668770235,0.514324416,2.800792688,4.379037507,1.172965849,0.711777942,-15304.2081,1
3.327329777,2.802113265,1.794254464,14.19700037,7.703233333,1.120956055,11.07112345,-1652862.533,0.846745045,0.673584551,0.513094814,2.748073823,4.304145281,1.123411192,0.716977171,-15085.77438,1
3.457949035,2.849573059,1.958933806,22.59312135,23.20733368,2.350094014,11.95741153,-1910143.547,0.821548037,0.650067061,0.502353502,2.642408941,4.342607826,1.159055123,0.674941178,-12785.14228,1
3.411923066,2.806740141,1.939975273,23.1234831,26.6088837,2.662579628,11.64121901,-1862892.158,0.823479561,0.652488501,0.502376742,2.625034025,4.293370964,1.133527882,0.678118588,-12743.84012,1
3.254581421,2.655362826,1.881865914,19.2628293,14.27345591,1.709375169,10.59230023,-1623969.16,0.813694036,0.644349976,0.49690646,2.676005765,4.480256376,1.164949506,0.662097984,-11797.03333,1
3.179528654,2.614226917,1.809775012,13.76823652,4.960816542,0.854918012,10.10940246,-1487237.673,0.791645092,0.623688797,0.487564345,2.603961004,4.283531689,1.123471861,0.626701952,-9655.427679,1
3.054430286,2.553873514,1.675509054,7.427325827,2.261211367,0.431040235,9.329544371,-1300810.758,0.788829981,0.627285127,0.478299784,2.711825377,4.191771135,1.096063205,0.622252739,-8602.904038,1
3.054556818,2.53291477,1.707254643,6.806880564,2.142326689,0.450635605,9.330317356,-1311792.721,0.797090171,0.635228257,0.481500196,2.52406317,3.871472873,1.009155995,0.635352741,-8907.386459,1
3.178099177,2.66088926,1.737827127,7.396557046,2.145387022,0.384881742,10.10031438,-1444629.412,0.797530686,0.632267081,0.486105194,2.63987201,4.152571759,1.076384301,0.636055195,-9588.893378,1
3.124992683,2.623560705,1.697812166,8.805730327,2.310217059,0.397930313,9.765579271,-1377480.849,0.791494939,0.629902055,0.479262176,2.548186141,4.05712892,1.037407718,0.626464238,-8517.613354,1
4.501779147,3.983873124,2.096391739,7.968513086,1.883485167,-0.139815676,20.26601549,-3425679.543,1.194615879,0.977903008,0.686164865,3.336281876,3.305474662,0.852691079,1.427107098,-71980.37601,1
4.309952277,3.686762525,2.23239118,8.588200386,1.892068954,0.156299923,18.57568863,-3154821.689,1.189617167,0.96345967,0.697813877,3.258045388,3.616113148,0.948578771,1.415189004,-73314.98041,1
3.576939078,3.086396123,1.807959488,7.064521578,2.040741891,0.258500629,12.79449317,-1928603.835,1.010831304,0.804289515,0.612295517,3.003727323,3.935102927,1.059581723,1.021779926,-39197.1644,1
3.341859845,2.887694134,1.68205422,11.10059937,2.956199623,0.320091296,11.16802722,-1605329.019,0.970899332,0.779287779,0.579105152,2.786463776,3.728479517,0.998804182,0.942645512,-31028.70188,1
2.138138269,1.731962621,1.253783145,5.366818541,2.545891915,0.627483159,4.571635257,-495836.3677,0.970899332,0.779287779,0.579105152,2.786463776,3.728479517,0.998804182,0.942645512,-31028.70188,1
2.47236498,2.019106723,1.426827723,6.863207844,3.083346602,0.802748976,6.112588595,-752790.5855,0.870588077,0.694438432,0.525056548,2.828156573,3.981834237,1.034586576,0.757923601,-17354.13901,1
2.484208831,2.003012773,1.469447695,11.87430669,6.128061534,1.084898314,6.171293514,-777929.794,0.801177471,0.633473087,0.490511978,2.724448951,4.258981814,1.117992369,0.64188534,-10420.90571,1
2.653860777,2.178353658,1.515849042,9.604443405,3.339798007,0.721085625,7.042977023,-908430.6888,0.818633478,0.649613383,0.49816482,2.536117747,3.803772448,1.015856524,0.670160771,-11592.84826,1
2.819851218,2.292046905,1.64260033,13.34482482,6.399368847,1.130753318,7.951560894,-1097571.699,0.637769387,0.532199642,0.351448149,2.178659187,2.710036895,0.536096703,0.40674979,6725.778778,1
2.891955796,2.315629756,1.732433891,17.9884654,15.63846907,1.924058918,8.363408328,-1214494.047,0.630632703,0.529345895,0.342772344,1.449224533,2.250216152,0.420395591,0.397697607,7489.184713,1
2.938131291,2.413062014,1.676246818,6.69731056,2.143594029,0.456069845,8.632615482,-1189057.618,0.631863857,0.527767028,0.34744253,1.451096654,2.247191042,0.389073726,0.399251933,7324.465111,1
2.817629312,2.289598652,1.642201842,7.220963954,2.077862612,0.389459953,7.939034939,-1064598.253,0.632281509,0.530116942,0.344613275,1.45210498,2.240770387,0.409931222,0.399779907,7397.770093,1
3.138019624,2.555553165,1.821093492,11.9358892,3.430857928,0.730877746,9.847167159,-1445156.827,0.630813644,0.528155204,0.34493523,1.507302403,2.178392885,0.392154742,0.397925853,7420.950985,1
2.918900914,2.421397299,1.629991044,12.70027229,5.563140523,1.143192114,8.519982547,-1187644.4,0.636238217,0.534009297,0.345883699,1.455170343,2.213827405,0.382435418,0.404799069,7355.574267,1
2.911061983,2.287697738,1.800218249,22.17933228,32.59113658,3.124870945,8.474281872,-1292811.538,0.634902002,0.531382274,0.34747064,1.470235832,2.249662478,0.411652705,0.403100552,7220.731358,1
2.916984207,2.387932541,1.675300324,9.837215661,2.583548543,0.428061894,8.508796864,-1164291.144,0.628438635,0.524028523,0.3468885,1.454174554,2.224114371,0.418197028,0.394935118,7292.92886,1
2.62782472,2.163831441,1.491087093,7.909063833,2.150712744,0.399355286,6.90546276,-869910.0195,0.625391489,0.520975647,0.345978734,1.430405835,2.222861543,0.41074927,0.391114515,7390.270439,1
1.106957624,0.686448624,0.868423025,16.8824135,254.2633066,13.69044425,1.22535518,-174127.7095,0.492226452,0.383053667,0.30912567,1.373431819,2.891990493,0.864686697,0.24228688,7792.913265,1
0.823555794,0.647093571,0.509430316,6.218125327,31.65836635,3.100901551,0.678244147,-17810.40661,0.480001163,0.365864128,0.310719306,1.501525248,3.997545133,1.180404485,0.230401116,6933.941759,1
0.812997394,0.613395394,0.533588369,5.972931145,42.39246075,4.367595902,0.660964763,-24938.22148,0.524037491,0.401491622,0.336781884,1.420393343,2.866157474,0.914735548,0.274615292,6513.480133,1
1.054227001,0.657688401,0.823926036,15.54530845,224.3176249,12.55501838,1.111394569,-145908.3285,0.492081425,0.381619401,0.31066492,1.444078308,3.207402999,0.980901117,0.242144129,7476.764338,1
0.843976659,0.621028296,0.571512894,7.936841429,57.86900169,4.864170695,0.712296601,-33060.77392,0.514219052,0.392017064,0.332785321,1.456613161,3.157671669,0.994501556,0.264421234,6480.580013,1
0.82060844,0.627947661,0.528285461,6.319713011,30.53984674,3.273004816,0.673398212,-21416.19635,0.511415497,0.394769455,0.325123056,1.464347263,3.072687254,0.967173973,0.26154581,6939.599387,1
1.193579715,0.650852352,1.00052175,20.12956269,301.8369021,15.55487541,1.424632535,-259606.8249,0.482323202,0.382150808,0.294275659,1.45191098,3.042050238,0.857095561,0.232635672,8439.832484,1
0.742319771,0.585554522,0.456255091,2.289866335,3.664613378,0.988301759,0.551038643,-4446.212187,0.516611403,0.396232186,0.331495995,1.444280165,2.886711876,0.928330956,0.266887342,6709.030081,1
0.717597802,0.576765855,0.42695597,3.713508775,8.868340184,1.544354657,0.514946606,-2399.722999,0.479076987,0.37688645,0.295758537,1.290504919,2.993799876,0.884871078,0.229514759,8236.555537,1
0.957355568,0.65802885,0.695368526,11.67318511,132.9033411,8.589740191,0.916529683,-78473.64072,0.490987224,0.387167389,0.301946504,1.431181379,2.738252359,0.81465915,0.241068455,8229.732605,1
